,precision,recall,f1-score,support
No Fire,0.7216494845360825,0.8805031446540881,0.7932011331444759,159.0
Fire,0.9120370370370371,0.7848605577689243,0.8436830835117773,251.0
accuracy,0.8219512195121951,0.8219512195121951,0.8219512195121951,0.8219512195121951
macro avg,0.8168432607865598,0.8326818512115062,0.8184421083281266,410.0
weighted avg,0.8382038154573986,0.8219512195121951,0.8241059369059215,410.0
